patric_id,530F,530M,77F,77M,78F,78M,MG1655F,MG1655F,feature.gene_id,feature.product
fig|511145.12.peg.21,25.7253,43.2832,0,7.36507,39.7243,16.1571,15.4865,0,949128,Uncharacterized protein YaaY
fig|511145.12.peg.29,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.40,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.41,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.46,0.562224,3.58935,1.4637,1.73,3.24929,0.936668,3.33065,0,944766,Putative metabolite transport protein YaaU
fig|511145.12.peg.45,4.89797,0,0,4.09482,0,0,4.70937,0,948590,Ferredoxin-like protein ecFixX
fig|511145.12.peg.63,1.37917,0,0,1.05133,2.38214,1.04959,2.45972,0,945294,L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
fig|511145.12.peg.61,342.506,0,0,0,0,0,131.828,0,0,hypothetical protein
fig|511145.12.peg.72,0,0,0,30.4337,0,82.2094,33.434,0,7751624,Sugar-phosphate stress protein SgrT (embedded in SgrS)
fig|511145.12.peg.78,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.126,0,0,0,0,0,0,0,0,0,Possibly bogus hypothetical protein in a repeated sequence element
fig|511145.12.peg.135,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.142,0,0,0,0,0,0,0,0,944828,Uncharacterized fimbrial-like protein YadM
fig|511145.12.peg.143,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.146,0,3.54853,0,0,1.46389,0,1.47309,0,944841,Uncharacterized fimbrial-like protein YadN
fig|511145.12.peg.145,0.976014,0,2.76278,3.20354,2.7008,2.30893,1.87543,0,944859,Fimbria adhesin EcpD
fig|511145.12.peg.155,0,0,0,36.461,0,46.9623,0,0,0,hypothetical protein
fig|511145.12.peg.181,0,24.9874,0,20.5746,0,0,23.1758,0,0,hypothetical protein
fig|511145.12.peg.220,11.723,34.629,0,10.1643,15.1719,0,10.6424,0,1450235,"H repeat-associated protein, YhhI family"
fig|511145.12.peg.237,0,0,0,0,5.93227,0,0,0,0,Protein with similarity to RtcB
fig|511145.12.peg.248,0,0,0,0,0,0,0,0,1450236,Uncharacterized protein YkfH
fig|511145.12.peg.253,0,0,0,0,0,0,2.14537,0,944934,Uncharacterized lipoprotein YafY
fig|511145.12.peg.254,0,0,0,0,0,0,0,0,5625553,hypothetical protein
fig|511145.12.peg.266,0,0,31.0728,18.3708,12.4248,18.1671,16.4137,0,947073,"ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron) / ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
fig|511145.12.peg.298,15.5817,11.9648,1.62937,0.718295,3.39599,2.90286,1.81363,0,944966,Transcriptional regulator EcpR
fig|511145.12.peg.299,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.302,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.303,0,0,0,0,0,0,0,0,7751635,hypothetical protein
fig|511145.12.peg.289,4.45975,11.3479,5.89468,1.71421,1.96474,1.73286,2.01826,0,945710,"Periplasmic aromatic aldehyde oxidoreductase, FAD binding subunit YagS"
fig|511145.12.peg.300,0,0,0,24.4424,0,0,0,0,1450238,"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-independent"
fig|511145.12.peg.308,0,0,0,0,0,0,0,0,5625557,"Oxidoreductase, aldo/keto reductase family"
fig|511145.12.peg.309,0,1.01112,4.29767,3.3406,0,3.54992,1.8741,0,944974,Inner membrane protein RclC associated with response to reactive chlorine species
fig|511145.12.peg.304,0.839081,0,0,1.27688,0,0,0.768908,0,0,hypothetical protein
fig|511145.12.peg.313,0,0,0,0,0,0,0,0,0,hypothetical protein
fig|511145.12.peg.324,2.10254,4.58917,0,1.79895,2.01151,0,2.05287,0,947337,Uncharacterized protein YahC
